asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,anomaly_iforest
2829,2025-02-06 09:01:36.921000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,11215,2.0,7.476,0,52.0,1,1
2829,2025-02-06 09:07:36.898000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12060,1.0,8.04,0,52.25,1,1
2829,2025-02-06 09:08:36.898000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,14247,0.0,9.498,0,60.0,1,1
2829,2025-02-06 10:09:36.610000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13312,0.0,8.874,0,60.25,1,1
2829,2025-02-06 10:13:36.591000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12030,0.0,8.02,0,55.5,1,1
2829,2025-02-06 10:18:36.578000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13905,1.0,9.27,0,59.5,1,1
2829,2025-02-06 10:19:36.575000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12916,0.0,8.611,0,55.5,1,1
2928,2025-02-06 07:51:40.687000+00:00,FW24-KT1-W,Laundry,Kitchen,12862,0.0,8.575,0,51.5,1,1
3031,2025-02-06 21:14:10.859000+00:00,FW67-KT1-W,Laundry,Kitchen,12487,0.0,8.324,0,60.0,1,1
3031,2025-02-06 23:35:10.152000+00:00,FW67-KT1-W,Laundry,Kitchen,13129,0.0,8.752,0,60.0,1,1
2101,2025-02-06 06:44:45.682000+00:00,FW46-KT1-FK,Faucet,Kitchen,11803,7.0,7.869,0,49.75,1,1
