utc_time,asset_id,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,z_score,z_anomaly,rolling_mean,rolling_std,rolling_anomaly,anomaly
2025-02-06 03:36:20.928000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,19254,0.0,12.836,0,60.25,1,3.515495131616411,True,5.100199999999999,4.607103134171045,True,True
2025-02-06 13:15:18.380000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,13588,2.0,9.059,0,44.25,1,2.4241690127012037,False,3.9186,3.341929323010858,True,True
2025-02-06 13:21:18.359000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,18638,1.0,12.425,0,60.0,1,3.3967408200267504,True,3.6607,4.496609242282188,True,True
2025-02-06 09:10:57.155000+00:00,3087,FW27-KT-FK,Faucet,Kitchen,2450,1.0,1.633,0,11.0,1,0.2785010860227999,False,0.7344999999999999,0.5752802698587488,True,True
2025-02-06 17:00:54.646000+00:00,3087,FW27-KT-FK,Faucet,Kitchen,1084,1.0,0.723,1,7.0,1,0.015565748926469768,False,0.2699,0.22359161681732193,True,True
2025-02-06 17:01:54.604000+00:00,3087,FW27-KT-FK,Faucet,Kitchen,2217,1.0,1.478,1,15.75,1,0.23371539673716124,False,0.3798,0.44431740406541237,True,True
2025-02-06 07:29:37.066000+00:00,3030,FW67-BA-F,Faucet,Bathroom,1080,1.0,0.72,0,16.25,1,0.014698929133844504,False,0.0732,0.22726284342117095,True,True
2025-02-06 07:30:37.066000+00:00,3030,FW67-BA-F,Faucet,Bathroom,1033,2.0,0.689,0,23.5,1,0.005741791276716767,False,0.1419,0.29660652948512106,True,True
2025-02-06 08:25:36.686000+00:00,3030,FW67-BA-F,Faucet,Bathroom,1647,1.0,1.098,1,32.0,1,0.12391822300462782,False,0.3764,0.3735285798970024,True,True
2025-02-06 17:02:33.784000+00:00,3030,FW67-BA-F,Faucet,Bathroom,1419,1.0,0.946,1,19.5,1,0.0799993535116144,False,0.3735,0.37406334876429714,True,True
2025-02-06 19:22:33.037000+00:00,3030,FW67-BA-F,Faucet,Bathroom,4860,0.0,3.24,1,58.25,1,0.7428275549390665,False,0.5937,0.9694303080789719,True,True
2025-02-06 20:56:32.505000+00:00,3030,FW67-BA-F,Faucet,Bathroom,1017,1.0,0.678,1,11.25,1,0.0025634520370908277,False,0.23710000000000003,0.24294647329970134,True,True
2025-02-06 20:58:32.496000+00:00,3030,FW67-BA-F,Faucet,Bathroom,1139,2.0,0.76,1,22.75,1,0.026256526368848034,False,0.30300000000000005,0.2872629457480944,True,True
2025-02-06 01:35:07.748000+00:00,2098,FW46-BA1-T,WC,Bathroom 1st floor - main,2797,1.0,1.864,0,12.25,1,0.34524621005494527,False,0.47490000000000004,0.543146276593744,True,True
2025-02-06 03:45:07.181000+00:00,2098,FW46-BA1-T,WC,Bathroom 1st floor - main,7719,1.0,5.146,0,31.25,1,1.293547063186984,False,0.9603999999999999,1.566429925375206,True,True
2025-02-06 05:18:06.783000+00:00,2098,FW46-BA1-T,WC,Bathroom 1st floor - main,8550,1.0,5.7,0,39.0,1,1.4536197848917831,False,1.5018,2.1385659161638277,True,True
2025-02-06 12:29:04.902000+00:00,2098,FW46-BA1-T,WC,Bathroom 1st floor - main,10531,1.0,7.021,0,47.0,1,1.8353094335777742,False,2.9974,2.4325376415952147,True,True
2025-02-06 04:14:09.981000+00:00,2252,FW05-KT1-W,Laundry,Utility room ,7042,1.0,4.694,0,29.0,1,1.1629462144314444,False,1.8908,1.5233427279067957,True,True
2025-02-06 06:13:09.548000+00:00,2252,FW05-KT1-W,Laundry,Utility room ,10945,1.0,7.297,0,44.5,1,1.9150568544992985,False,2.3316000000000003,2.3026250334008544,True,True
2025-02-06 17:26:13.855000+00:00,2736,FW43-KT1-FK,Faucet,Kitchen ,5077,1.0,3.385,1,25.75,1,0.784723844915954,False,1.1689,0.9435808214808784,True,True
