asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,reconstruction_error,anomaly_autoencoder
2657,2025-02-01 02:02:28.073000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:03:28.066000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:05:28.062000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:06:28.062000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:08:28.052000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:09:28.026000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:11:28.019000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:12:28.019000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:14:28.013000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:15:28.005000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:17:27.997000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:18:27.997000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:20:27.970000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:21:27.965000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
